file	sight	kind	lat	lon	bearing	pitch	elevation	sky	labels	width	height	await_ms	command
banff-lake-louise.sky-on.peaks-on.areas-on.b250.std.png	banff-lake-louise	matrix	51.4254	-116.211	250	-2	0.55	on	peaks,mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat 51.4254 --lon -116.211 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks,mountain_ranges,islands,lakes,cities" --download 900000 --shot "250,-2,0.55,snapshots/images/banff-lake-louise.sky-on.peaks-on.areas-on.b250.std.png"
banff-lake-louise.sky-on.peaks-on.areas-on.b250.wide.png	banff-lake-louise	matrix	51.4254	-116.211	250	-8	0.9	on	peaks,mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat 51.4254 --lon -116.211 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks,mountain_ranges,islands,lakes,cities" --download 900000 --shot "250,-8,0.9,snapshots/images/banff-lake-louise.sky-on.peaks-on.areas-on.b250.wide.png"
banff-lake-louise.sky-on.peaks-on.areas-on.b280.std.png	banff-lake-louise	matrix	51.4254	-116.211	280	-2	0.55	on	peaks,mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat 51.4254 --lon -116.211 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks,mountain_ranges,islands,lakes,cities" --download 900000 --shot "280,-2,0.55,snapshots/images/banff-lake-louise.sky-on.peaks-on.areas-on.b280.std.png"
banff-lake-louise.sky-on.peaks-on.areas-on.b280.wide.png	banff-lake-louise	matrix	51.4254	-116.211	280	-8	0.9	on	peaks,mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat 51.4254 --lon -116.211 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks,mountain_ranges,islands,lakes,cities" --download 900000 --shot "280,-8,0.9,snapshots/images/banff-lake-louise.sky-on.peaks-on.areas-on.b280.wide.png"
banff-lake-louise.sky-on.peaks-on.areas-off.b220.std.png	banff-lake-louise	matrix	51.4254	-116.211	220	-2	0.55	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat 51.4254 --lon -116.211 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "220,-2,0.55,snapshots/images/banff-lake-louise.sky-on.peaks-on.areas-off.b220.std.png"
banff-lake-louise.sky-on.peaks-on.areas-off.b220.wide.png	banff-lake-louise	matrix	51.4254	-116.211	220	-8	0.9	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat 51.4254 --lon -116.211 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "220,-8,0.9,snapshots/images/banff-lake-louise.sky-on.peaks-on.areas-off.b220.wide.png"
banff-lake-louise.sky-on.peaks-on.areas-off.b250.std.png	banff-lake-louise	matrix	51.4254	-116.211	250	-2	0.55	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat 51.4254 --lon -116.211 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "250,-2,0.55,snapshots/images/banff-lake-louise.sky-on.peaks-on.areas-off.b250.std.png"
banff-lake-louise.sky-on.peaks-on.areas-off.b250.wide.png	banff-lake-louise	matrix	51.4254	-116.211	250	-8	0.9	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat 51.4254 --lon -116.211 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "250,-8,0.9,snapshots/images/banff-lake-louise.sky-on.peaks-on.areas-off.b250.wide.png"
banff-lake-louise.sky-on.peaks-on.areas-off.b280.std.png	banff-lake-louise	matrix	51.4254	-116.211	280	-2	0.55	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat 51.4254 --lon -116.211 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "280,-2,0.55,snapshots/images/banff-lake-louise.sky-on.peaks-on.areas-off.b280.std.png"
banff-lake-louise.sky-on.peaks-on.areas-off.b280.wide.png	banff-lake-louise	matrix	51.4254	-116.211	280	-8	0.9	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat 51.4254 --lon -116.211 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "280,-8,0.9,snapshots/images/banff-lake-louise.sky-on.peaks-on.areas-off.b280.wide.png"
